threshold_yuan,observation_count,actual_proportion,uniform_reference_proportion,actual_minus_uniform_reference
2.0,246,0.06713973799126638,0.08,-0.012860262008733622
3.0,365,0.09961790393013101,0.12,-0.020382096069868988
5.0,631,0.17221615720524017,0.2,-0.027783842794759844
10.0,1395,0.3807314410480349,0.4,-0.01926855895196511
