near_threshold_yuan,n_days_near,mean_abs_return_after_near,mean_abs_return_after_far,statistic_near_minus_far,null_median,null_p2.5,null_p97.5,empirical_percentile_in_null,two_sided_p,outside_95_null_band
2.0,246,0.007704,0.007331,0.000374,-1.2e-05,-0.00121,0.001987,68.7,0.6277,False
5.0,631,0.007848,0.007253,0.000595,5e-06,-0.001012,0.001413,84.0,0.3198,False
